,ae,term_code,term,samp_id,term_llt_or_pt
0,zombie,10016384,feeling abnormal,349077988215754752,felt like a zombie
1,rls,10038741,restless legs syndrome,351133278692057088,restless leg syndrome
2,headache,10019211,headache,347150663286931456,headache
3,diarrhea,10012727,diarrhoea,340360304531734529,diarrhea
4,thoughts of suicide,10042458,suicidal ideation,340360304531734529,suicidal ideation
5,fatigue,10016256,fatigue,340360304531734529,fatigue
6,nausea,10028813,nausea,340360304531734529,nausea
7,dry mouth,10013781,dry mouth,340360304531734529,dry mouth
8,constipation,10010774,constipation,340360304531734529,constipation
9,sedating,10039897,sedation,344939374917603328,sedation
10,crying,10011469,crying,345979692031025153,crying
11,withdrawls,10073281,withdrawal syndrome,345979692031025153,withdrawal symptom
12,gastic upset,10046317,abdominal discomfort,341873958007738369,upset gastrointestinal
13,hating the world,10023000,irritability,345298918160089088,irritable
14,weightgain,10047896,weight increased,344099735004643330,weight gain
15,siiiiiiiiiiiiiiick,10016365,malaise,333211368578772993,feeling sick
16,sick,10016365,malaise,347742381237473280,feeling sick
17,steal your soul,10016340,feeling abnormal,345416979722678272,feeling lifeless
18,bloated,10005264,abdominal distension,345416979722678272,bloated feeling
19,zombie,10016384,feeling abnormal,345416979722678272,felt like a zombie
20,addiction,10001125,dependence,340212184988659712,addiction
21,tremors,10044565,tremor,351689824148799489,tremor
22,tension in my nerves,10043272,tension,351689824148799489,tension nervous
23,shaking,10040528,tremor,351689824148799489,shaking
24,drowsy,10013649,somnolence,343406657717547008,drowsiness
25,high,10016333,euphoric mood,343406657717547008,feeling high
26,nausea,10028813,nausea,330755655256379393,nausea
27,akathisia,10001540,akathisia,330755655256379393,akathisia
28,gain weight,10047896,weight increased,343910899507154944,weight gain
29,tolerant,10043087,tachyphylaxis,344470680961679362,tachyphylaxis
30,back ache,10003978,back pain,343826721545527298,back ache
31,almost died,10068111,near death experience,340987702876966913,near death experience
32,fat.,10047896,weight increased,329316938452971520,weight gain
33,haven't ate,10003028,decreased appetite,342066984902610946,appetite lost
34,weight gain,10047896,weight increased,340764967089356801,weight gain
35,tolerance,10043087,tachyphylaxis,340739507114610688,tachyphylaxis
36,come too fast,10036596,premature ejaculation,340739507114610688,premature ejaculation
37,nap,10011865,somnolence,347388396655755264,daytime sleepiness
38,sweatin,10042661,hyperhidrosis,342307555504173057,sweating
39,weak knees,10047862,asthenia,345166429974327297,weakness
40,lower back ache,10024890,back pain,345166429974327297,low back ache
41,aches,10000424,pain,345166429974327297,ache
42,exhausting,10015667,fatigue,341215457975607296,exhaustion
43,vampire,10022437,insomnia,340451551766274049,insomnia
44,face break out,10000496,acne,358353085535494144,acne
45,halitosis,10019058,breath odour,341332687891611649,halitosis
46,skin issues,10040831,skin disorder,347542434500206592,skin disorder
47,olanzapine lbs,10047896,weight increased,341257005232697344,weight gain
48,raging bm's,10012727,diarrhoea,352181796122800132,diarrhea
49,weight gain,10047896,weight increased,352181796122800132,weight gain
50,mood swings,10027951,mood swings,352181796122800132,mood swings
51,sleep cycle,10040995,sleep disorder,342579514636902403,sleep disturbance
52,quality,10062519,poor quality sleep,342579514636902403,poor quality sleep
53,driving my fucking mind up the fucking wall,10048345,mental disorder,339846013877624832,mental state abnormal aggravated
54,vertigo,10047340,vertigo,340867974783193088,vertigo
55,get out of bed,10019158,somnolence,353477521070751744,hard to awaken
56,feels like when you come off heroin,10073281,withdrawal syndrome,341139910352326656,withdrawal symptom
57,addicted,10012336,drug dependence,344630199217958912,dependence addictive
58,addiction,10001125,dependence,344829955051495424,addiction
59,addicted,10012336,drug dependence,342518568350543872,dependence addictive
60,fat,10047896,weight increased,330016889487110145,weight gain
61,headaches,10019211,headache,348662789964972032,headache
62,headaches ,10019211,headache,348662789964972032,headache
63,tired,10043890,fatigue,332882069376086016,tiredness
64,sleepy,10041018,somnolence,342128993094496257,sleepy
65,no sleep,10041001,insomnia,341824775158652928,sleep loss
66,coming off effexor was the worst,10048010,withdrawal syndrome,351610112521154561,withdrawal syndrome
67,lower back pain,10024891,back pain,346488248320794624,low back pain
68,crippled,10049278,gait inability,346488248320794624,unable to walk
69,withdrawals,10073281,withdrawal syndrome,351679516072087552,withdrawal symptom
70,pee so often,10046600,pollakiuria,349211958056202244,urination frequency of
71,fluid retention,10016807,fluid retention,348262745730338817,fluid retention
72,pain,10033371,pain,348262745730338817,pain
73,lucidity ,10043439,bradyphrenia,349948514215800832,thinking sluggish
74,withdrawals,10073281,withdrawal syndrome,344389958812983296,withdrawal symptom
75,head pain,10019198,headache,330053958125096960,head pain
76,anxious,10016323,anxiety,330053958125096960,feeling anxious
77,stomach,10042112,abdominal pain upper,330053958125096960,stomach pain
78,withdrawal,10073281,withdrawal syndrome,330053958125096960,withdrawal symptom
79,hallucinations,10019077,hallucination,331478814888689664,hallucinations
80,breastmilk production,10023666,galactorrhoea,331478814888689664,lactation induced
81,hip joints just started hurting,10033432,arthralgia,350789905833664512,pain in hip
82,not hungry,10003028,decreased appetite,345958089830301696,appetite lost
83,addict,10001125,dependence,344897696080990208,addiction
84,craving,10056484,nicotine dependence,340259370577317890,nicotine craving
85,cant sleep,10041001,insomnia,340259370577317890,sleep loss
86,withdrawal,10073281,withdrawal syndrome,351111188026896384,withdrawal symptom
87,descent into madness,10027352,mental impairment,346655051051327488,mental deterioration
88,ill,10021345,malaise,344189386763681792,ill feeling
89,wt loss,10047900,weight decreased,352210793669996545,weight loss
90,withdrawl,10048010,withdrawal syndrome,344267687582642177,withdrawal syndrome
91,rant,10002368,anger,344267687582642177,anger
92,sleep,10041001,insomnia,343991140971868161,sleep loss
93,kidney stones,10023437,nephrolithiasis,333047948642492416,kidney stones
94,cognitive problems,10009846,cognitive disorder,333047948642492416,cognitive impairment
95,parasthesia,10033775,paraesthesia,333047948642492416,paraesthesia
96,weight,10047896,weight increased,342705807537868802,weight gain
97,wait gain,10047896,weight increased,342705807537868802,weight gain
98,zombies,10016384,feeling abnormal,329440408084037632,felt like a zombie
99,barely keep my eyes open,10041014,somnolence,341743389018050560,sleepiness
100,tremors,10044565,tremor,342197181085782016,tremor
101,insomnia,10022437,insomnia,351634675959205888,insomnia
102,need to sleep 24/7,10041000,hypersomnia,342662725165543426,sleep excessive
103,"metabolic"""" syndrome",10052066,metabolic syndrome,347901325801029632,metabolic syndrome
104,hypomania,10021030,hypomania,345626164481634304,hypomania
105,tired,10043890,fatigue,342974071161643008,tiredness
106,getting off of it is hell,10048010,withdrawal syndrome,341953288285061121,withdrawal syndrome
107,sleepy,10041018,somnolence,348547192899923968,sleepy
108,zombie,10016384,feeling abnormal,332142355593437184,felt like a zombie
109,fuzziness,10017565,feeling abnormal,346637330746073089,fuzzy
110,feeling like you have to poop,10057071,rectal tenesmus,341890864739663872,rectal tenesmus
111,stay up all night,10041001,insomnia,341890864739663872,sleep loss
112,withdrawal,10073281,withdrawal syndrome,354293014753062912,withdrawal symptom
113,zombie,10016384,feeling abnormal,340523944761249794,felt like a zombie
114,pain,10033371,pain,340523944761249794,pain
115,horrible sleep,10040995,sleep disorder,341985679204560898,sleep disturbance
116,depressed,10012378,depression,351683349422673920,depression
117,got ten minutes of sleep,10041001,insomnia,352596786940100609,sleep loss
